Subject,critical_need_count,avg_poorest_critical,avg_richest_critical,high_performing_count,avg_poorest_high,avg_richest_high
Reading,11,1.1,14.6,10,54,73.8
Numeracy,20,1.7,10.3,6,52.2,67.8
