Subject,avg_high_performing_poorest,avg_low_performing_poorest,avg_total_when_poorest_high,avg_total_when_poorest_low,countries_lifting_poorest
Reading,52.7,3.1,62.4,10.8,10
Numeracy,51.2,3,56.5,7.6,6
